problem	domain	status	rating
COL050-1	COL	UNS	0.04
COL051-1	COL	UNS	0.04
COL052-1	COL	UNS	0.04
COL053-1	COL	UNS	0.04
COL056-1	COL	UNS	0.04
COL057-1	COL	UNS	0.26
COL058-1	COL	UNS	0.04
COL058-2	COL	UNS	0.00
COL058-3	COL	UNS	0.00
COL059-1	COL	UNS	0.00
COL060-1	COL	UNS	0.22
COL060-2	COL	UNS	0.00
COL060-3	COL	UNS	0.00
COL061-1	COL	UNS	0.22
COL061-2	COL	UNS	0.00
COL061-3	COL	UNS	0.00
COL062-1	COL	UNS	0.22
COL062-2	COL	UNS	0.00
COL062-3	COL	UNS	0.00
COL063-1	COL	UNS	0.22
COL063-2	COL	UNS	0.00
COL063-3	COL	UNS	0.00
COL063-4	COL	UNS	0.00
COL063-5	COL	UNS	0.00
COL063-6	COL	UNS	0.00
COL064-1	COL	UNS	0.30
COL064-10	COL	UNS	0.04
COL064-11	COL	UNS	0.00
COL064-2	COL	UNS	0.04
COL064-3	COL	UNS	0.00
COL064-4	COL	UNS	0.00
COL064-5	COL	UNS	0.04
COL064-6	COL	UNS	0.00
COL064-7	COL	UNS	0.00
COL064-8	COL	UNS	0.00
COL064-9	COL	UNS	0.04
COL065-1	COL	UNS	0.35
COL066-1	COL	UNS	0.78
COL066-2	COL	UNS	0.00
COL066-3	COL	UNS	0.00
COL067-1	COL	UNK	1.00
COL068-1	COL	UNK	1.00
COL069-1	COL	SAT	1.00
COL070-1	COL	UNS	0.13
COL071-1	COL	SAT	0.20
COL073-1	COL	SAT	0.40
COL075-2	COL	UNS	0.09
COL083-1	COL	UNS	0.04
COL084-1	COL	UNS	0.00
COL085-1	COL	UNS	0.00
COL086-1	COL	UNS	0.00
COL087-1	COL	OPN	1.00
COM010-2	COM	UNS	0.00
CSR027-10	CSR	UNS	0.17
CSR034-10	CSR	UNS	0.48
CSR036-10	CSR	UNS	0.91
CSR038-10	CSR	UNS	0.57
CSR039-10	CSR	UNS	0.65
CSR040-10	CSR	UNS	0.96
CSR041-10	CSR	UNS	0.09
CSR044-10	CSR	UNS	0.78
CSR049-10	CSR	UNS	0.91
CSR051-10	CSR	UNS	0.30
CSR055-10	CSR	UNS	0.74
CSR057-10	CSR	UNS	0.78
CSR058-10	CSR	UNS	0.70
CSR059-10	CSR	UNS	0.61
CSR065-10	CSR	UNS	0.91
CSR068-10	CSR	UNS	0.70
CSR072-10	CSR	UNS	0.30
CSR073-10	CSR	UNS	0.78
CSR111-10	CSR	SAT	1.00
GRP001-2	GRP	UNS	0.00
GRP001-4	GRP	UNS	0.00
GRP002-10	GRP	UNS	0.35
GRP002-2	GRP	UNS	0.00
GRP002-3	GRP	UNS	0.00
GRP002-4	GRP	UNS	0.04
GRP010-4	GRP	UNS	0.04
GRP011-4	GRP	UNS	0.09
GRP012-4	GRP	UNS	0.00
GRP014-1	GRP	UNS	0.13
GRP022-2	GRP	UNS	0.00
GRP023-2	GRP	UNS	0.00
GRP024-5	GRP	UNS	0.61
GRP048-10	GRP	UNS	0.39
GRP112-10	GRP	SAT	0.00
GRP114-1	GRP	UNS	0.30
GRP115-1	GRP	UNS	0.04
GRP116-1	GRP	UNS	0.04
GRP117-1	GRP	UNS	0.09
GRP118-1	GRP	UNS	0.04
GRP119-1	GRP	UNS	0.09
GRP120-1	GRP	UNS	0.09
GRP121-1	GRP	UNS	0.09
GRP122-1	GRP	UNS	0.09
GRP136-1	GRP	UNS	0.04
GRP137-1	GRP	UNS	0.04
GRP138-1	GRP	UNS	0.00
GRP139-1	GRP	UNS	0.00
GRP140-1	GRP	UNS	0.04
GRP141-1	GRP	UNS	0.00
GRP142-1	GRP	UNS	0.00
GRP143-1	GRP	UNS	0.00
GRP144-1	GRP	UNS	0.00
GRP145-1	GRP	UNS	0.00
GRP146-1	GRP	UNS	0.00
GRP147-1	GRP	UNS	0.00
GRP148-1	GRP	UNS	0.00
GRP149-1	GRP	UNS	0.00
GRP150-1	GRP	UNS	0.00
GRP151-1	GRP	UNS	0.00
GRP152-1	GRP	UNS	0.00
GRP153-1	GRP	UNS	0.04
GRP154-1	GRP	UNS	0.00
GRP155-1	GRP	UNS	0.04
GRP156-1	GRP	UNS	0.00
GRP157-1	GRP	UNS	0.00
GRP158-1	GRP	UNS	0.00
GRP159-1	GRP	UNS	0.00
GRP160-1	GRP	UNS	0.00
GRP161-1	GRP	UNS	0.00
GRP162-1	GRP	UNS	0.00
GRP163-1	GRP	UNS	0.00
GRP164-1	GRP	UNS	0.96
GRP164-2	GRP	UNS	0.96
GRP165-1	GRP	UNS	0.00
GRP165-2	GRP	UNS	0.04
GRP166-1	GRP	UNS	0.09
GRP166-2	GRP	UNS	0.09
GRP166-3	GRP	UNS	0.00
GRP166-4	GRP	UNS	0.00
GRP167-1	GRP	UNS	0.22
GRP167-2	GRP	UNS	0.26
GRP167-3	GRP	UNS	0.43
GRP167-4	GRP	UNS	0.35
GRP167-5	GRP	UNS	0.13
GRP168-1	GRP	UNS	0.00
GRP168-2	GRP	UNS	0.00
GRP169-1	GRP	UNS	0.04
GRP169-2	GRP	UNS	0.04
GRP170-1	GRP	UNS	0.17
GRP170-2	GRP	UNS	0.17
GRP170-3	GRP	UNS	0.17
GRP170-4	GRP	UNS	0.17
GRP171-1	GRP	UNS	0.00
GRP171-2	GRP	UNS	0.00
GRP172-1	GRP	UNS	0.00
GRP172-2	GRP	UNS	0.00
GRP173-1	GRP	UNS	0.00
GRP174-1	GRP	UNS	0.00
GRP175-1	GRP	UNS	0.04
GRP175-2	GRP	UNS	0.00
GRP175-3	GRP	UNS	0.00
GRP175-4	GRP	UNS	0.00
GRP176-1	GRP	UNS	0.00
GRP176-2	GRP	UNS	0.00
GRP177-1	GRP	UNS	0.96
GRP177-2	GRP	UNS	0.61
GRP178-1	GRP	UNS	0.43
GRP178-2	GRP	UNS	0.43
GRP179-1	GRP	UNS	0.39
GRP179-2	GRP	UNS	0.35
GRP179-3	GRP	UNS	0.22
GRP180-1	GRP	UNS	0.43
GRP180-2	GRP	UNS	0.48
GRP181-1	GRP	UNS	0.65
GRP181-2	GRP	UNS	0.70
GRP181-3	GRP	UNS	0.22
GRP181-4	GRP	UNS	0.17
GRP182-1	GRP	UNS	0.04
GRP182-2	GRP	UNS	0.00
GRP182-3	GRP	UNS	0.00
GRP182-4	GRP	UNS	0.00
GRP183-1	GRP	UNS	0.39
GRP183-2	GRP	UNS	0.35
GRP183-3	GRP	UNS	0.39
GRP183-4	GRP	UNS	0.39
GRP184-1	GRP	UNS	0.39
GRP184-2	GRP	UNS	0.26
GRP184-3	GRP	UNS	0.35
GRP184-4	GRP	UNS	0.09
GRP185-1	GRP	UNS	0.13
GRP185-2	GRP	UNS	0.22
GRP185-3	GRP	UNS	0.26
GRP185-4	GRP	UNS	0.26
GRP186-1	GRP	UNS	0.35
GRP186-2	GRP	UNS	0.30
GRP186-3	GRP	UNS	0.04
GRP186-4	GRP	UNS	0.00
GRP187-1	GRP	UNS	0.70
GRP188-1	GRP	UNS	0.00
GRP188-2	GRP	UNS	0.00
GRP189-1	GRP	UNS	0.00
GRP189-2	GRP	UNS	0.00
GRP190-1	GRP	UNS	0.04
GRP190-2	GRP	UNS	0.04
GRP191-1	GRP	UNS	0.04
GRP191-2	GRP	UNS	0.04
GRP192-1	GRP	UNS	0.04
GRP193-1	GRP	UNS	0.00
GRP193-2	GRP	UNS	0.00
GRP195-1	GRP	UNS	0.04
GRP196-1	GRP	UNS	0.87
GRP200-1	GRP	UNS	0.13
GRP201-1	GRP	UNS	0.22
GRP202-1	GRP	UNS	0.22
GRP203-1	GRP	UNS	0.26
GRP204-1	GRP	SAT	0.20
GRP205-1	GRP	UNS	0.26
GRP206-1	GRP	UNS	0.00
GRP207-1	GRP	SAT	0.00
GRP393-2	GRP	SAT	0.00
GRP394-3	GRP	SAT	0.00
GRP399-1	GRP	SAT	0.20
GRP403-1	GRP	UNS	0.17
GRP404-1	GRP	UNS	0.26
GRP405-1	GRP	UNS	0.22
GRP406-1	GRP	UNS	0.17
GRP407-1	GRP	UNS	0.13
GRP408-1	GRP	UNS	0.13
GRP409-1	GRP	UNS	0.17
GRP410-1	GRP	UNS	0.09
GRP411-1	GRP	UNS	0.17
GRP412-1	GRP	UNS	0.13
GRP413-1	GRP	UNS	0.13
GRP414-1	GRP	UNS	0.13
GRP415-1	GRP	UNS	0.13
GRP416-1	GRP	UNS	0.22
GRP417-1	GRP	UNS	0.13
GRP418-1	GRP	UNS	0.13
GRP419-1	GRP	UNS	0.30
GRP420-1	GRP	UNS	0.26
GRP421-1	GRP	UNS	0.17
GRP422-1	GRP	UNS	0.30
GRP423-1	GRP	UNS	0.26
GRP424-1	GRP	UNS	0.13
GRP425-1	GRP	UNS	0.09
GRP426-1	GRP	UNS	0.09
GRP427-1	GRP	UNS	0.17
GRP428-1	GRP	UNS	0.13
GRP429-1	GRP	UNS	0.09
GRP430-1	GRP	UNS	0.13
GRP431-1	GRP	UNS	0.09
GRP432-1	GRP	UNS	0.09
GRP433-1	GRP	UNS	0.13
GRP434-1	GRP	UNS	0.09
GRP435-1	GRP	UNS	0.13
GRP436-1	GRP	UNS	0.13
GRP437-1	GRP	UNS	0.09
GRP438-1	GRP	UNS	0.13
GRP439-1	GRP	UNS	0.17
GRP440-1	GRP	UNS	0.13
GRP441-1	GRP	UNS	0.13
GRP442-1	GRP	UNS	0.22
GRP443-1	GRP	UNS	0.13
GRP444-1	GRP	UNS	0.17
GRP445-1	GRP	UNS	0.09
GRP446-1	GRP	UNS	0.04
GRP447-1	GRP	UNS	0.09
GRP448-1	GRP	UNS	0.04
GRP449-1	GRP	UNS	0.09
GRP450-1	GRP	UNS	0.09
GRP451-1	GRP	UNS	0.04
GRP452-1	GRP	UNS	0.09
GRP453-1	GRP	UNS	0.04
GRP454-1	GRP	UNS	0.00
GRP455-1	GRP	UNS	0.00
GRP456-1	GRP	UNS	0.00
GRP457-1	GRP	UNS	0.00
GRP458-1	GRP	UNS	0.00
GRP459-1	GRP	UNS	0.00
GRP460-1	GRP	UNS	0.00
GRP461-1	GRP	UNS	0.04
GRP462-1	GRP	UNS	0.04
GRP463-1	GRP	UNS	0.00
GRP464-1	GRP	UNS	0.04
GRP465-1	GRP	UNS	0.09
GRP466-1	GRP	UNS	0.09
GRP467-1	GRP	UNS	0.09
GRP468-1	GRP	UNS	0.09
GRP469-1	GRP	UNS	0.26
GRP470-1	GRP	UNS	0.17
GRP471-1	GRP	UNS	0.17
GRP472-1	GRP	UNS	0.22
GRP473-1	GRP	UNS	0.17
GRP474-1	GRP	UNS	0.17
GRP475-1	GRP	UNS	0.30
GRP476-1	GRP	UNS	0.22
GRP477-1	GRP	UNS	0.22
GRP478-1	GRP	UNS	0.22
GRP479-1	GRP	UNS	0.17
GRP480-1	GRP	UNS	0.17
GRP481-1	GRP	UNS	0.00
GRP482-1	GRP	UNS	0.00
GRP483-1	GRP	UNS	0.09
GRP484-1	GRP	UNS	0.00
GRP485-1	GRP	UNS	0.04
GRP486-1	GRP	UNS	0.04
GRP487-1	GRP	UNS	0.00
GRP488-1	GRP	UNS	0.00
GRP489-1	GRP	UNS	0.04
GRP490-1	GRP	UNS	0.00
GRP491-1	GRP	UNS	0.04
GRP492-1	GRP	UNS	0.04
GRP493-1	GRP	UNS	0.00
GRP494-1	GRP	UNS	0.00
GRP495-1	GRP	UNS	0.00
GRP496-1	GRP	UNS	0.00
GRP497-1	GRP	UNS	0.04
GRP498-1	GRP	UNS	0.00
GRP499-1	GRP	UNS	0.13
GRP500-1	GRP	UNS	0.09
GRP501-1	GRP	UNS	0.09
GRP502-1	GRP	UNS	0.17
GRP503-1	GRP	UNS	0.13
GRP504-1	GRP	UNS	0.13
GRP505-1	GRP	UNS	0.65
GRP506-1	GRP	UNS	0.74
GRP507-1	GRP	UNS	0.74
GRP508-1	GRP	UNS	0.70
GRP509-1	GRP	UNS	0.09
GRP510-1	GRP	UNS	0.04
GRP511-1	GRP	UNS	0.09
GRP512-1	GRP	UNS	0.04
GRP513-1	GRP	UNS	0.13
GRP514-1	GRP	UNS	0.09
GRP515-1	GRP	UNS	0.09
GRP516-1	GRP	UNS	0.09
GRP517-1	GRP	UNS	0.09
GRP518-1	GRP	UNS	0.04
GRP519-1	GRP	UNS	0.09
GRP520-1	GRP	UNS	0.09
GRP521-1	GRP	UNS	0.04
GRP522-1	GRP	UNS	0.00
GRP523-1	GRP	UNS	0.00
GRP524-1	GRP	UNS	0.00
GRP525-1	GRP	UNS	0.04
GRP526-1	GRP	UNS	0.00
GRP527-1	GRP	UNS	0.04
GRP528-1	GRP	UNS	0.00
GRP529-1	GRP	UNS	0.04
GRP530-1	GRP	UNS	0.00
GRP531-1	GRP	UNS	0.04
GRP532-1	GRP	UNS	0.04
GRP533-1	GRP	UNS	0.00
GRP534-1	GRP	UNS	0.00
GRP535-1	GRP	UNS	0.00
GRP536-1	GRP	UNS	0.00
GRP537-1	GRP	UNS	0.00
GRP538-1	GRP	UNS	0.00
GRP539-1	GRP	UNS	0.04
GRP540-1	GRP	UNS	0.04
GRP541-1	GRP	UNS	0.00
GRP542-1	GRP	UNS	0.00
GRP543-1	GRP	UNS	0.04
GRP544-1	GRP	UNS	0.00
GRP545-1	GRP	UNS	0.00
GRP546-1	GRP	UNS	0.04
GRP547-1	GRP	UNS	0.04
GRP548-1	GRP	UNS	0.04
GRP549-1	GRP	UNS	0.00
GRP550-1	GRP	UNS	0.00
GRP551-1	GRP	UNS	0.04
GRP552-1	GRP	UNS	0.00
GRP553-1	GRP	UNS	0.13
GRP554-1	GRP	UNS	0.04
GRP555-1	GRP	UNS	0.09
GRP556-1	GRP	UNS	0.04
GRP557-1	GRP	UNS	0.13
GRP558-1	GRP	UNS	0.04
GRP559-1	GRP	UNS	0.09
GRP560-1	GRP	UNS	0.09
GRP561-1	GRP	UNS	0.13
GRP562-1	GRP	UNS	0.13
GRP563-1	GRP	UNS	0.09
GRP564-1	GRP	UNS	0.09
GRP565-1	GRP	UNS	0.00
GRP566-1	GRP	UNS	0.00
GRP567-1	GRP	UNS	0.09
GRP568-1	GRP	UNS	0.04
GRP569-1	GRP	UNS	0.04
GRP570-1	GRP	UNS	0.00
GRP571-1	GRP	UNS	0.04
GRP572-1	GRP	UNS	0.00
GRP573-1	GRP	UNS	0.00
GRP574-1	GRP	UNS	0.00
GRP575-1	GRP	UNS	0.04
GRP576-1	GRP	UNS	0.00
GRP577-1	GRP	UNS	0.00
GRP578-1	GRP	UNS	0.00
GRP579-1	GRP	UNS	0.04
GRP580-1	GRP	UNS	0.09
GRP581-1	GRP	UNS	0.00
GRP582-1	GRP	UNS	0.04
GRP583-1	GRP	UNS	0.00
GRP584-1	GRP	UNS	0.00
GRP585-1	GRP	UNS	0.13
GRP586-1	GRP	UNS	0.09
GRP587-1	GRP	UNS	0.09
GRP588-1	GRP	UNS	0.09
GRP589-1	GRP	UNS	0.13
GRP590-1	GRP	UNS	0.09
GRP591-1	GRP	UNS	0.09
GRP592-1	GRP	UNS	0.09
GRP593-1	GRP	UNS	0.09
GRP594-1	GRP	UNS	0.04
GRP595-1	GRP	UNS	0.04
GRP596-1	GRP	UNS	0.04
GRP597-1	GRP	UNS	0.17
GRP598-1	GRP	UNS	0.09
GRP599-1	GRP	UNS	0.09
GRP600-1	GRP	UNS	0.09
GRP601-1	GRP	UNS	0.13
GRP602-1	GRP	UNS	0.09
GRP603-1	GRP	UNS	0.13
GRP604-1	GRP	UNS	0.09
GRP605-1	GRP	UNS	0.13
GRP606-1	GRP	UNS	0.09
GRP607-1	GRP	UNS	0.09
GRP608-1	GRP	UNS	0.09
GRP609-1	GRP	UNS	0.17
GRP610-1	GRP	UNS	0.09
GRP611-1	GRP	UNS	0.09
GRP612-1	GRP	UNS	0.04
GRP613-1	GRP	UNS	0.13
GRP614-1	GRP	UNS	0.09
GRP615-1	GRP	UNS	0.09
GRP616-1	GRP	UNS	0.09
GRP654-10	GRP	UNS	0.78
GRP654-11	GRP	UNS	0.61
GRP654-12	GRP	UNS	0.61
GRP655-10	GRP	UNS	0.83
GRP655-11	GRP	UNS	0.57
GRP655-12	GRP	UNS	0.57
GRP655-13	GRP	UNS	0.57
GRP655-14	GRP	UNS	0.61
GRP656-10	GRP	UNS	0.13
GRP657-10	GRP	UNS	0.13
GRP658-10	GRP	UNS	0.13
GRP659-10	GRP	UNS	0.26
GRP660-10	GRP	UNS	0.35
GRP660-11	GRP	UNS	0.22
GRP660-12	GRP	UNS	0.17
GRP660-13	GRP	UNS	0.17
GRP660-14	GRP	UNS	0.17
GRP661-1	GRP	UNS	0.87
GRP662-1	GRP	UNS	0.87
GRP663-1	GRP	UNS	0.87
GRP664-10	GRP	UNS	0.87
GRP664-11	GRP	UNS	0.87
GRP664-12	GRP	UNS	0.87
GRP665-10	GRP	UNS	0.04
GRP665-11	GRP	UNS	0.09
GRP665-12	GRP	UNS	0.00
GRP666-2	GRP	UNS	0.87
GRP666-3	GRP	UNS	0.87
GRP666-4	GRP	UNS	0.87
GRP666-5	GRP	UNS	0.87
GRP667-10	GRP	UNS	0.52
GRP667-2	GRP	UNS	0.57
GRP667-3	GRP	UNS	0.52
GRP667-4	GRP	UNS	0.52
GRP667-5	GRP	UNS	0.52
GRP668-1	GRP	UNS	0.35
GRP669-1	GRP	UNS	0.13
GRP670-1	GRP	UNS	0.52
GRP671-1	GRP	UNS	0.00
GRP672-10	GRP	UNS	1.00
GRP672-11	GRP	UNS	1.00
GRP673-10	GRP	UNS	1.00
GRP673-11	GRP	UNS	1.00
GRP674-10	GRP	UNS	1.00
GRP674-11	GRP	UNS	1.00
GRP675-1	GRP	UNS	1.00
GRP676-1	GRP	UNS	1.00
GRP677-1	GRP	UNS	1.00
GRP678-1	GRP	UNS	0.91
GRP679-1	GRP	UNS	0.00
GRP680-1	GRP	UNS	0.00
GRP681-1	GRP	UNS	0.52
GRP682-10	GRP	UNS	0.04
GRP682-11	GRP	UNS	0.04
GRP683-10	GRP	UNS	0.09
GRP683-11	GRP	UNS	0.09
GRP684-1	GRP	UNS	0.04
GRP685-10	GRP	UNS	0.09
GRP685-11	GRP	UNS	0.04
GRP686-1	GRP	UNS	0.13
GRP687-1	GRP	UNS	0.13
GRP688-1	GRP	UNS	0.26
GRP689-1	GRP	UNS	0.70
GRP690-1	GRP	UNS	0.83
GRP691-1	GRP	UNS	0.74
GRP692-1	GRP	UNS	0.91
GRP693-1	GRP	UNS	0.83
GRP694-1	GRP	UNS	0.78
GRP695-1	GRP	UNS	0.78
GRP696-1	GRP	UNS	0.30
GRP697-1	GRP	UNS	0.35
GRP698-1	GRP	UNS	0.13
GRP699-1	GRP	UNS	0.17
GRP700-10	GRP	UNS	0.09
GRP701-1	GRP	UNS	0.30
GRP702-10	GRP	UNS	0.00
GRP702-11	GRP	UNS	0.00
GRP702-12	GRP	UNS	0.00
GRP703-10	GRP	UNS	0.04
GRP703-11	GRP	UNS	0.00
GRP703-12	GRP	UNS	0.04
GRP704-10	GRP	UNS	0.04
GRP704-11	GRP	UNS	0.00
GRP704-12	GRP	UNS	0.04
GRP705-1	GRP	UNS	0.30
GRP706-1	GRP	UNS	0.87
GRP707-1	GRP	UNS	0.04
GRP708-1	GRP	UNS	0.04
GRP709-1	GRP	UNS	0.04
GRP710-10	GRP	UNS	0.04
GRP710-11	GRP	UNS	0.04
GRP712-1	GRP	UNS	1.00
GRP713-1	GRP	UNS	1.00
GRP714-1	GRP	UNS	1.00
GRP715-10	GRP	UNS	0.09
GRP715-11	GRP	UNS	0.04
GRP716-1	GRP	UNS	1.00
GRP717-1	GRP	UNS	1.00
GRP718-1	GRP	UNS	0.78
GRP719-1	GRP	UNS	0.83
GRP720-2	GRP	UNS	0.74
GRP721-1	GRP	UNS	0.91
GRP722-1	GRP	SAT	0.00
GRP723-1	GRP	UNS	1.00
GRP724-1	GRP	UNS	1.00
GRP725-1	GRP	UNS	0.96
GRP726-1	GRP	UNS	1.00
